service_id,date,exception_type
27_1094015,20230822,1
27_1094015,20230823,1
27_1094015,20230824,1
27_1094015,20230825,1
27_1094015,20230826,1
27_1094015,20230828,1
27_1094015,20230829,1
27_1094015,20230830,1
27_1094015,20230831,1
27_1094015,20230901,1
27_1094018,20230807,1
27_1094018,20230808,1
27_1094018,20230809,1
27_1094018,20230810,1
27_1094018,20230811,1
27_1094018,20230814,1
27_1094018,20230816,1
27_1094018,20230817,1
27_1094018,20230818,1
27_1094018,20230821,1
27_1094018,20230822,1
27_1094018,20230823,1
27_1094018,20230824,1
27_1094018,20230825,1
27_1094018,20230828,1
27_1094018,20230829,1
27_1094018,20230830,1
27_1094018,20230831,1
27_1094018,20230901,1
27_1094019,20230807,1
27_1094019,20230808,1
27_1094019,20230809,1
27_1094019,20230810,1
27_1094019,20230811,1
27_1094019,20230814,1
27_1094019,20230816,1
27_1094019,20230817,1
27_1094019,20230818,1
27_1094019,20230821,1
27_1094019,20230822,1
27_1094019,20230823,1
27_1094019,20230824,1
27_1094019,20230825,1
27_1094019,20230828,1
27_1094019,20230829,1
27_1094019,20230830,1
27_1094019,20230831,1
27_1094019,20230901,1
27_1094020,20230807,1
27_1094020,20230808,1
27_1094020,20230809,1
27_1094020,20230810,1
27_1094020,20230811,1
27_1094020,20230812,1
27_1094020,20230814,1
27_1094020,20230816,1
27_1094020,20230817,1
27_1094020,20230818,1
27_1094020,20230819,1
27_1094020,20230821,1
27_1094020,20230822,1
27_1094020,20230823,1
27_1094020,20230824,1
27_1094020,20230825,1
27_1094020,20230826,1
27_1094020,20230828,1
27_1094020,20230829,1
27_1094020,20230830,1
27_1094020,20230831,1
27_1094020,20230901,1
27_1094060,20230812,1
27_1094060,20230819,1
27_1094060,20230826,1
27_1094061,20230812,1
27_1094061,20230819,1
27_1094061,20230826,1
27_1094062,20230812,1
27_1094062,20230819,1
27_1094062,20230826,1
27_1094063,20230812,1
27_1094063,20230819,1
27_1094063,20230826,1
27_1094064,20230812,1
27_1094064,20230819,1
27_1094064,20230826,1
27_1094065,20230812,1
27_1094065,20230819,1
27_1094065,20230826,1
27_1094066,20230812,1
27_1094066,20230819,1
27_1094066,20230826,1
27_1094067,20230812,1
27_1094067,20230819,1
27_1094067,20230826,1
27_1094068,20230807,1
27_1094068,20230808,1
27_1094068,20230809,1
27_1094068,20230810,1
27_1094068,20230811,1
27_1094068,20230814,1
27_1094068,20230816,1
27_1094068,20230817,1
27_1094068,20230818,1
27_1094068,20230821,1
27_1094068,20230822,1
27_1094068,20230823,1
27_1094068,20230824,1
